nome_clube,id_clube,rodada,mando
gremio,284,15,1
fluminense,266,15,1
fortaleza,356,15,1
vasco,267,15,1
chapecoense,315,15,1
cruzeiro,283,15,1
goias,290,15,0
avai,314,15,0
csa,341,15,0
palmeiras,275,16,1
santos,277,16,1
sao_paulo,276,16,0
corinthians,264,16,0
flamengo,262,16,0
atletico_pr,293,16,0
ceara,354,16,1
bahia,265,16,0
internacional,285,16,0
atletico_mg,282,16,1
botafogo,263,16,1
gremio,284,16,1
fluminense,266,16,0
fortaleza,356,16,0
vasco,267,16,1
chapecoense,315,16,0
cruzeiro,283,16,0
goias,290,16,1
avai,314,16,1
csa,341,16,1
palmeiras,275,17,0
santos,277,17,0
sao_paulo,276,17,1
corinthians,264,17,1
flamengo,262,17,1
atletico_pr,293,17,1
ceara,354,17,0
bahia,265,17,1
internacional,285,17,1
atletico_mg,282,17,0
botafogo,263,17,0
gremio,284,17,0
fluminense,266,17,1
fortaleza,356,17,1
vasco,267,17,0
chapecoense,315,17,1
cruzeiro,283,17,1
goias,290,17,0
avai,314,17,0
csa,341,17,0
palmeiras,275,18,0
santos,277,18,1
sao_paulo,276,18,0
corinthians,264,18,1
flamengo,262,18,0
atletico_pr,293,18,0
ceara,354,18,0
bahia,265,18,0
internacional,285,18,1
atletico_mg,282,18,0
botafogo,263,18,1
gremio,284,18,0
fluminense,266,18,0
fortaleza,356,18,1
vasco,267,18,1
chapecoense,315,18,0
cruzeiro,283,18,1
goias,290,18,1
avai,314,18,1
csa,341,18,1
palmeiras,275,19,1
santos,277,19,0
sao_paulo,276,19,1
corinthians,264,19,0
flamengo,262,19,1
atletico_pr,293,19,1
ceara,354,19,1
bahia,265,19,1
internacional,285,19,0
atletico_mg,282,19,1
botafogo,263,19,0
gremio,284,19,1
fluminense,266,19,1
fortaleza,356,19,0
vasco,267,19,0
chapecoense,315,19,1
cruzeiro,283,19,0
goias,290,19,0
avai,314,19,0
csa,341,19,0
palmeiras,275,20,0
santos,277,20,1
sao_paulo,276,20,0
corinthians,264,20,1
flamengo,262,20,0
atletico_pr,293,20,0
ceara,354,20,0
bahia,265,20,0
internacional,285,20,1
atletico_mg,282,20,0
botafogo,263,20,1
gremio,284,20,0
fluminense,266,20,0
fortaleza,356,20,1
vasco,267,20,1
chapecoense,315,20,0
cruzeiro,283,20,1
goias,290,20,1
avai,314,20,1
csa,341,20,1
palmeiras,275,21,1
santos,277,21,0
sao_paulo,276,21,1
corinthians,264,21,0
flamengo,262,21,1
atletico_pr,293,21,1
ceara,354,21,1
bahia,265,21,1
internacional,285,21,0
atletico_mg,282,21,1
botafogo,263,21,0
gremio,284,21,1
fluminense,266,21,1
fortaleza,356,21,0
vasco,267,21,0
chapecoense,315,21,1
cruzeiro,283,21,0
goias,290,21,0
avai,314,21,0
csa,341,21,0
palmeiras,275,22,0
santos,277,22,1
sao_paulo,276,22,0
corinthians,264,22,1
flamengo,262,22,1
atletico_pr,293,22,1
ceara,354,22,0
bahia,265,22,0
internacional,285,22,1
atletico_mg,282,22,1
botafogo,263,22,0
gremio,284,22,0
fluminense,266,22,1
fortaleza,356,22,1
vasco,267,22,0
chapecoense,315,22,0
cruzeiro,283,22,0
goias,290,22,1
avai,314,22,1
csa,341,22,0
palmeiras,275,23,1
santos,277,23,0
sao_paulo,276,23,1
corinthians,264,23,0
flamengo,262,23,0
atletico_pr,293,23,0
ceara,354,23,1
bahia,265,23,1
internacional,285,23,0
atletico_mg,282,23,0
botafogo,263,23,1
gremio,284,23,1
fluminense,266,23,0
fortaleza,356,23,0
vasco,267,23,1
chapecoense,315,23,1
cruzeiro,283,23,1
goias,290,23,0
avai,314,23,0
csa,341,23,1
palmeiras,275,24,0
santos,277,24,1
sao_paulo,276,24,0
corinthians,264,24,1
flamengo,262,24,1
atletico_pr,293,24,0
ceara,354,24,0
bahia,265,24,1
internacional,285,24,0
atletico_mg,282,24,0
botafogo,263,24,1
gremio,284,24,1
fluminense,266,24,0
fortaleza,356,24,1
vasco,267,24,0
chapecoense,315,24,0
cruzeiro,283,24,1
goias,290,24,0
avai,314,24,1
csa,341,24,1
palmeiras,275,25,1
santos,277,25,0
sao_paulo,276,25,1
corinthians,264,25,0
flamengo,262,25,0
atletico_pr,293,25,1
ceara,354,25,1
bahia,265,25,0
internacional,285,25,1
atletico_mg,282,25,1
botafogo,263,25,0
gremio,284,25,0
fluminense,266,25,1
fortaleza,356,25,0
vasco,267,25,1
chapecoense,315,25,1
cruzeiro,283,25,0
goias,290,25,1
avai,314,25,0
csa,341,25,0
palmeiras,275,26,1
santos,277,26,1
