atletas.posicao_id,atletas.clube_id,atletas.atleta_id,atletas.rodada_id,atletas.nome,atletas.slug,atletas.apelido,atletas.foto,atletas.status_id,atletas.pontos_num,atletas.preco_num,atletas.variacao_num,atletas.media_num,atletas.clube.id.full.name,FS,DS,PI,FC,G,FF,FT,FD,DD,GS,SG,A,CA,I,CV,PP,GC,DP,,atletas.jogos_num
mei,5,70986,1,Leonardo Cittadini,leo-cittadini,Léo Cittadini,https://s.glbimg.com/es/sde/f/2019/03/30/475167cdad7e826c64f4a0a999f8aef9_FORMATO.png,Provável,9.8,12.9,4.9,9.8,Athlético-PR,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1
mei,5,70986,2,Leonardo Cittadini,leo-cittadini,Léo Cittadini,https://s.glbimg.com/es/sde/f/2019/03/30/475167cdad7e826c64f4a0a999f8aef9_FORMATO.png,Dúvida,6,15.1,2.2,7.9,Athlético-PR,3,4,4,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,9,2
mei,5,86711,2,Richard Cândido Coelho,richard,Richard,https://s.glbimg.com/es/sde/f/2020/07/21/282e88366ff0e11540856b5dd644148a_FORMATO.png,Dúvida,0.5,2.48,-0.78,0,Athlético-PR,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,2
mei,5,98022,1,Erick Luis Conrado de Carvalho,erick,Erick,https://s.glbimg.com/es/sde/f/2019/04/01/9717a07ef27fdd10d8ac6c25914a376e_FORMATO.png,Contundido,0,4,0,0,Athlético-PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0
mei,5,98022,2,Erick Luis Conrado de Carvalho,erick,Erick,https://s.glbimg.com/es/sde/f/2019/04/01/9717a07ef27fdd10d8ac6c25914a376e_FORMATO.png,Contundido,0,4,0,0,Athlético-PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
mei,6,71113,1,Felipe de Oliveira Silva,felipe-baxola,Felipe Baxola,https://s.glbimg.com/es/sde/f/2020/03/02/a6b441d755d11d4c4cee6850b8edddf7_FORMATO.png,Contundido,0,5,0,0,Ceará,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,0
mei,6,71162,1,Vinícius Goes Barbosa de Souza,vinicius,Vinícius,https://s.glbimg.com/es/sde/f/2020/07/16/66a1394a24c6d86ac402a7ad916cf196_FORMATO.png,Contundido,0,7,0,0,Ceará,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0
mei,6,80393,1,Fábio Gonçalves,fabinho,Fabinho,https://s.glbimg.com/es/sde/f/2019/03/28/8130912c9c6386df9e0982c031fd0299_FORMATO.png,Provável,-0.6,3.19,-1.81,-0.6,Ceará,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,507,1
mei,6,80393,2,Fábio Gonçalves,fabinho,Fabinho,https://s.glbimg.com/es/sde/f/2019/03/28/8130912c9c6386df9e0982c031fd0299_FORMATO.png,Dúvida,1.2,2.71,-0.48,0.3,Ceará,1,3,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,294,2
mei,6,84428,1,Fernando Pereira do Nascimento,fernando-sobral,Fernando Sobral,https://s.glbimg.com/es/sde/f/2019/03/28/2036fe932766e953f14ef5fc5ed37a53_FORMATO.png,Provável,6.8,7.1,4.1,6.8,Ceará,1,3,10,3,0,2,0,1,0,0,0,1,1,0,0,0,0,0,648,1
