atletas.posicao_id,atletas.clube_id,atletas.atleta_id,atletas.rodada_id,atletas.nome,atletas.slug,atletas.apelido,atletas.foto,atletas.status_id,atletas.pontos_num,atletas.preco_num,atletas.variacao_num,atletas.media_num,atletas.clube.id.full.name,FS,RB,PE,FC,G,FF,FT,FD,DD,GS,SG,A,CA,I,CV,PP,GC,DP,
ata,0,42116,2,Willian Gomes de Siqueira,willian,Willian,https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png,Dúvida,-0.5,6.78,-2.04,1.15,Palmeiras,1,0,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,614
ata,0,42116,5,Willian Gomes de Siqueira,willian,Willian,https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png,Provável,1.7,6.94,-0.94,2.34,Palmeiras,3,1,4,8,1,2,0,4,0,0,0,0,0,1,0,0,0,0,586
ata,0,42116,6,Willian Gomes de Siqueira,willian,Willian,https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png,Provável,15.4,10.25,3.31,4.52,Palmeiras,5,2,4,9,2,2,1,6,0,0,0,0,0,1,0,0,0,0,59
ata,0,42116,7,Willian Gomes de Siqueira,willian,Willian,https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png,Provável,0,10.25,0,4.52,Palmeiras,5,2,4,9,2,2,1,6,0,0,0,0,0,1,0,0,0,0,590
ata,0,42116,8,Willian Gomes de Siqueira,willian,Willian,https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png,Provável,-0.5,7.91,-2.34,3.8,Palmeiras,7,3,4,11,2,2,1,6,0,0,0,0,1,1,0,0,0,0,76
ata,0,42116,9,Willian Gomes de Siqueira,willian,Willian,https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png,Provável,17.8,11.66,3.75,5.55,Palmeiras,7,4,4,12,4,3,1,6,0,0,0,0,1,1,0,0,0,0,211
ata,0,42116,10,Willian Gomes de Siqueira,willian,Willian,https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png,Provável,25.8,14.42,2.76,7.8,Palmeiras,8,7,4,16,6,4,3,6,0,0,0,0,1,1,0,0,0,0,571
ata,0,42116,11,Willian Gomes de Siqueira,willian,Willian,https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png,Provável,-1.6,10.28,-4.14,6.86,Palmeiras,8,9,6,18,6,4,3,6,0,0,0,0,2,3,0,0,0,0,110
ata,0,42116,12,Willian Gomes de Siqueira,willian,Willian,https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png,Provável,11.9,12.74,2.46,7.32,Palmeiras,10,10,7,21,7,5,3,8,0,0,0,0,2,3,0,0,0,0,193
ata,0,42116,13,Willian Gomes de Siqueira,willian,Willian,https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png,Provável,5.5,12.2,-0.54,7.17,Palmeiras,13,10,7,23,7,5,3,8,0,0,0,1,2,3,0,0,0,0,203
ata,0,42116,14,Willian Gomes de Siqueira,willian,Willian,https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png,Provável,-1.5,10.89,-1.31,6.5,Palmeiras,13,11,7,27,7,5,3,8,0,0,0,1,2,5,0,0,0,0,403
ata,0,42116,15,Willian Gomes de Siqueira,willian,Willian,https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png,Provável,4.1,11.74,0.85,6.33,Palmeiras,16,12,7,28,7,7,3,8,0,0,0,1,2,5,0,0,0,0,100
ata,0,42116,16,Willian Gomes de Siqueira,willian,Willian,https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png,Provável,9.2,12.66,0.92,6.52,Palmeiras,17,14,9,30,7,9,3,9,0,0,0,2,2,6,0,0,0,0,57
ata,0,42116,17,Willian Gomes de Siqueira,willian,Willian,https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png,Contundido,0,12.66,0,6.52,Palmeiras,17,14,9,30,7,9,3,9,0,0,0,2,2,6,0,0,0,0,68
ata,0,42116,18,Willian Gomes de Siqueira,willian,Willian,https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png,Contundido,0,12.66,0,6.52,Palmeiras,17,14,9,30,7,9,3,9,0,0,0,2,2,6,0,0,0,0,81
ata,0,42116,19,Willian Gomes de Siqueira,willian,Willian,https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png,Provável,0,12.66,0,6.52,Palmeiras,17,14,9,30,7,9,3,9,0,0,0,2,2,6,0,0,0,0,54
ata,0,42116,20,Willian Gomes de Siqueira,willian,Willian,https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png,Provável,6.9,12.23,-0.43,6.54,Palmeiras,22,16,11,30,7,10,3,10,0,0,0,2,2,6,0,0,0,0,367
ata,0,42116,21,Willian Gomes de Siqueira,willian,Willian,https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png,Provável,0.5,11.3,-0.93,6.18,Palmeiras,23,16,11,30,7,10,3,10,0,0,0,2,2,6,0,0,0,0,224
ata,0,42116,22,Willian Gomes de Siqueira,willian,Willian,https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png,Provável,2.2,11.44,0.14,5.96,Palmeiras,24,17,12,33,7,11,3,11,0,0,0,2,2,6,0,0,0,0,509
ata,0,42116,27,Willian Gomes de Siqueira,willian,Willian,https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png,Provável,3.8,12.04,-0.49,5.6,Palmeiras,28,21,15,38,9,12,3,11,0,0,0,2,2,6,0,0,0,0,59
ata,0,42116,28,Willian Gomes de Siqueira,willian,Willian,https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png,Provável,0.4,11.25,-0.79,5.38,Palmeiras,28,21,16,39,9,12,3,12,0,0,0,2,2,6,0,0,0,0,616
ata,0,42116,29,Willian Gomes de Siqueira,willian,Willian,https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png,Dúvida,5.6,12.06,0.81,5.39,Palmeiras,29,25,19,39,9,12,3,12,0,0,0,2,2,6,0,0,0,0,73
ata,0,42116,30,Willian Gomes de Siqueira,willian,Willian,https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png,Provável,6.8,12.49,0.43,5.44,Palmeiras,29,26,21,40,9,14,3,16,0,0,0,2,2,6,0,0,0,0,96
ata,0,42116,31,Willian Gomes de Siqueira,willian,Willian,https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png,Provável,1.5,11.7,-0.79,5.29,Palmeiras,29,27,22,41,9,15,3,16,0,0,0,2,2,6,0,0,0,0,21
ata,0,42116,33,Willian Gomes de Siqueira,willian,Willian,https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png,Provável,1.4,11.63,-0.07,5.15,Palmeiras,29,28,25,41,9,16,3,16,0,0,0,2,2,6,0,0,0,0,41
ata,0,42116,34,Willian Gomes de Siqueira,willian,Willian,https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png,Provável,6.7,12.39,0.76,5.2,Palmeiras,30,28,26,42,9,17,3,17,0,0,0,3,2,6,0,0,0,0,52
ata,0,42116,35,Willian Gomes de Siqueira,willian,Willian,https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png,Provável,-0.6,11.26,-1.13,5.01,Palmeiras,31,28,29,43,9,18,3,17,0,0,0,3,2,7,0,0,0,0,43
ata,0,42116,37,Willian Gomes de Siqueira,willian,Willian,https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png,Contundido,3.9,12.02,-1.09,5.17,Palmeiras,36,28,32,46,10,18,3,19,0,0,0,4,2,8,0,0,0,0,256
ata,0,42116,38,Willian Gomes de Siqueira,willian,Willian,https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png,Contundido,0,12.02,0,5.17,Palmeiras,36,28,32,46,10,18,3,19,0,0,0,4,2,8,0,0,0,0,720
ata,0,68920,1,Eduardo Pereira Rodrigues,dudu,Dudu,https://s.glbimg.com/es/sde/f/2017/04/18/5268d6ef98c67a25b1dabf90d489a37f_FORMATO.png,Provável,1.9,18.53,-6.47,1.9,Palmeiras,1,1,7,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,540
ata,0,68920,2,Eduardo Pereira Rodrigues,dudu,Dudu,https://s.glbimg.com/es/sde/f/2017/04/18/5268d6ef98c67a25b1dabf90d489a37f_FORMATO.png,Provável,10.4,17.96,-0.57,6.15,Palmeiras,4,1,8,2,1,0,0,1,0,0,0,1,1,0,0,0,0,0,626
ata,0,68920,3,Eduardo Pereira Rodrigues,dudu,Dudu,https://s.glbimg.com/es/sde/f/2017/04/18/5268d6ef98c67a25b1dabf90d489a37f_FORMATO.png,Provável,2,15.88,-2.08,4.77,Palmeiras,5,2,12,2,1,1,0,3,0,0,0,1,2,0,0,0,0,0,139
ata,0,68920,4,Eduardo Pereira Rodrigues,dudu,Dudu,https://s.glbimg.com/es/sde/f/2017/04/18/5268d6ef98c67a25b1dabf90d489a37f_FORMATO.png,Provável,3.6,15.98,0.1,4.48,Palmeiras,8,3,16,4,1,3,0,4,0,0,0,1,2,0,0,0,0,0,148
ata,0,68920,5,Eduardo Pereira Rodrigues,dudu,Dudu,https://s.glbimg.com/es/sde/f/2017/04/18/5268d6ef98c67a25b1dabf90d489a37f_FORMATO.png,Suspenso,-0.4,14.37,-1.61,3.5,Palmeiras,10,3,18,4,1,3,0,5,0,0,0,1,3,0,0,0,0,0,139
ata,0,68920,6,Eduardo Pereira Rodrigues,dudu,Dudu,https://s.glbimg.com/es/sde/f/2017/04/18/5268d6ef98c67a25b1dabf90d489a37f_FORMATO.png,Provável,0,14.37,0,3.5,Palmeiras,10,3,18,4,1,3,0,5,0,0,0,1,3,0,0,0,0,0,785
ata,0,68920,7,Eduardo Pereira Rodrigues,dudu,Dudu,https://s.glbimg.com/es/sde/f/2017/04/18/5268d6ef98c67a25b1dabf90d489a37f_FORMATO.png,Provável,4.5,14.63,0.26,3.67,Palmeiras,12,5,20,4,1,5,0,5,0,0,0,1,3,1,0,0,0,0,740
ata,0,68920,8,Eduardo Pereira Rodrigues,dudu,Dudu,https://s.glbimg.com/es/sde/f/2017/04/18/5268d6ef98c67a25b1dabf90d489a37f_FORMATO.png,Provável,5.9,14.75,0.12,3.99,Palmeiras,17,6,20,4,1,5,0,7,0,0,0,1,3,2,0,0,0,0,153
ata,0,68920,9,Eduardo Pereira Rodrigues,dudu,Dudu,https://s.glbimg.com/es/sde/f/2017/04/18/5268d6ef98c67a25b1dabf90d489a37f_FORMATO.png,Provável,8.7,15.54,0.79,4.58,Palmeiras,24,6,21,5,2,5,0,7,0,0,0,1,4,2,0,0,0,0,318
ata,0,68920,10,Eduardo Pereira Rodrigues,dudu,Dudu,https://s.glbimg.com/es/sde/f/2017/04/18/5268d6ef98c67a25b1dabf90d489a37f_FORMATO.png,Provável,2.7,14.57,-0.97,4.37,Palmeiras,27,6,26,8,2,5,0,8,0,0,0,2,5,2,0,0,0,0,786
ata,0,68920,11,Eduardo Pereira Rodrigues,dudu,Dudu,https://s.glbimg.com/es/sde/f/2017/04/18/5268d6ef98c67a25b1dabf90d489a37f_FORMATO.png,Provável,15.9,17.08,2.51,5.52,Palmeiras,31,7,28,8,3,5,0,8,0,0,0,3,5,2,0,0,0,0,355
ata,0,68920,12,Eduardo Pereira Rodrigues,dudu,Dudu,https://s.glbimg.com/es/sde/f/2017/04/18/5268d6ef98c67a25b1dabf90d489a37f_FORMATO.png,Suspenso,-3.5,13.94,-3.14,4.7,Palmeiras,37,7,34,9,3,6,0,8,0,0,0,3,5,2,1,0,0,0,302
ata,0,68920,13,Eduardo Pereira Rodrigues,dudu,Dudu,https://s.glbimg.com/es/sde/f/2017/04/18/5268d6ef98c67a25b1dabf90d489a37f_FORMATO.png,Provável,0,13.94,0,4.7,Palmeiras,37,7,34,9,3,6,0,8,0,0,0,3,5,2,1,0,0,0,397
ata,0,68920,14,Eduardo Pereira Rodrigues,dudu,Dudu,https://s.glbimg.com/es/sde/f/2017/04/18/5268d6ef98c67a25b1dabf90d489a37f_FORMATO.png,Provável,1.6,14.44,0.5,4.44,Palmeiras,38,8,36,11,3,6,0,9,0,0,0,3,5,2,1,0,0,0,767
ata,0,68920,15,Eduardo Pereira Rodrigues,dudu,Dudu,https://s.glbimg.com/es/sde/f/2017/04/18/5268d6ef98c67a25b1dabf90d489a37f_FORMATO.png,Provável,5.6,15.08,0.64,4.53,Palmeiras,42,10,38,11,3,6,0,10,0,0,0,3,5,2,1,0,0,0,87
ata,0,68920,16,Eduardo Pereira Rodrigues,dudu,Dudu,https://s.glbimg.com/es/sde/f/2017/04/18/5268d6ef98c67a25b1dabf90d489a37f_FORMATO.png,Provável,5.4,14.98,-0.1,4.59,Palmeiras,46,12,39,12,3,6,0,11,0,0,0,3,5,2,1,0,0,0,67
ata,0,68920,19,Eduardo Pereira Rodrigues,dudu,Dudu,https://s.glbimg.com/es/sde/f/2017/04/18/5268d6ef98c67a25b1dabf90d489a37f_FORMATO.png,Provável,18.3,17.12,2.14,5.5,Palmeiras,53,12,42,13,4,7,0,13,0,0,0,4,5,2,1,0,0,0,185
ata,0,68920,20,Eduardo Pereira Rodrigues,dudu,Dudu,https://s.glbimg.com/es/sde/f/2017/04/18/5268d6ef98c67a25b1dabf90d489a37f_FORMATO.png,Suspenso,3,14.82,-2.3,5.34,Palmeiras,57,13,46,15,4,11,0,13,0,0,0,5,6,3,1,0,0,0,127
ata,0,68920,21,Eduardo Pereira Rodrigues,dudu,Dudu,https://s.glbimg.com/es/sde/f/2017/04/18/5268d6ef98c67a25b1dabf90d489a37f_FORMATO.png,Provável,0,14.82,0,5.34,Palmeiras,57,13,46,15,4,11,0,13,0,0,0,5,6,3,1,0,0,0,329
ata,0,68920,22,Eduardo Pereira Rodrigues,dudu,Dudu,https://s.glbimg.com/es/sde/f/2017/04/18/5268d6ef98c67a25b1dabf90d489a37f_FORMATO.png,Provável,0,14.82,0,5.34,Palmeiras,57,13,46,15,4,11,0,13,0,0,0,5,6,3,1,0,0,0,203
ata,0,68920,23,Eduardo Pereira Rodrigues,dudu,Dudu,https://s.glbimg.com/es/sde/f/2017/04/18/5268d6ef98c67a25b1dabf90d489a37f_FORMATO.png,Dúvida,-0.3,14.09,-0.73,5.01,Palmeiras,65,13,52,16,4,11,0,13,0,0,0,5,7,3,1,0,0,0,91
ata,0,68920,27,Eduardo Pereira Rodrigues,dudu,Dudu,https://s.glbimg.com/es/sde/f/2017/04/18/5268d6ef98c67a25b1dabf90d489a37f_FORMATO.png,Provável,9.7,15.96,1.78,5.22,Palmeiras,71,14,60,16,4,12,1,16,0,0,0,8,7,3,1,0,0,0,820
ata,0,68920,28,Eduardo Pereira Rodrigues,dudu,Dudu,https://s.glbimg.com/es/sde/f/2017/04/18/5268d6ef98c67a25b1dabf90d489a37f_FORMATO.png,Provável,6.5,15.27,-0.69,5.28,Palmeiras,76,14,65,17,4,12,2,16,0,0,0,9,8,3,1,0,0,0,270
ata,0,68920,30,Eduardo Pereira Rodrigues,dudu,Dudu,https://s.glbimg.com/es/sde/f/2017/04/18/5268d6ef98c67a25b1dabf90d489a37f_FORMATO.png,Provável,1.9,14.83,-1.02,5.32,Palmeiras,85,15,72,18,4,13,2,18,0,0,0,10,8,3,1,0,0,0,218
ata,0,68920,31,Eduardo Pereira Rodrigues,dudu,Dudu,https://s.glbimg.com/es/sde/f/2017/04/18/5268d6ef98c67a25b1dabf90d489a37f_FORMATO.png,Provável,8.7,16.03,1.2,5.46,Palmeiras,90,15,73,21,5,13,2,18,0,0,0,10,8,3,1,0,0,0,123
ata,0,68920,32,Eduardo Pereira Rodrigues,dudu,Dudu,https://s.glbimg.com/es/sde/f/2017/04/18/5268d6ef98c67a25b1dabf90d489a37f_FORMATO.png,Suspenso,11.6,16.67,0.64,5.7,Palmeiras,96,15,76,24,6,13,2,18,0,0,0,11,9,3,1,0,0,0,437
ata,0,68920,33,Eduardo Pereira Rodrigues,dudu,Dudu,https://s.glbimg.com/es/sde/f/2017/04/18/5268d6ef98c67a25b1dabf90d489a37f_FORMATO.png,Provável,0,16.67,0,5.7,Palmeiras,96,15,76,24,6,13,2,18,0,0,0,11,9,3,1,0,0,0,136
ata,0,68920,34,Eduardo Pereira Rodrigues,dudu,Dudu,https://s.glbimg.com/es/sde/f/2017/04/18/5268d6ef98c67a25b1dabf90d489a37f_FORMATO.png,Provável,3.3,15.22,-1.45,5.61,Palmeiras,107,15,80,26,6,13,2,18,0,0,0,11,9,3,1,0,0,0,159
ata,0,68920,35,Eduardo Pereira Rodrigues,dudu,Dudu,https://s.glbimg.com/es/sde/f/2017/04/18/5268d6ef98c67a25b1dabf90d489a37f_FORMATO.png,Provável,6.5,15.84,0.62,5.64,Palmeiras,114,16,85,27,6,15,2,20,0,0,0,11,9,4,1,0,0,0,145
